time_beats,carrier_hz,beat_hz,band,iso_rate_hz,pitch_bend_R
0.0000,73.416,6.200,theta,6.200,5749
76.0000,130.813,6.200,theta,6.200,3284
152.0000,87.307,6.200,theta,6.200,4865
220.0000,87.307,6.200,theta,6.200,4865
280.0000,73.416,6.200,theta,6.200,5749
