time_beats,cc,value,track
0.0000,74,40,PARAGRAPH_VOICE
4.0000,74,40,PARAGRAPH_VOICE
8.0000,74,40,PARAGRAPH_VOICE
12.0000,74,40,PARAGRAPH_VOICE
16.0000,74,40,PARAGRAPH_VOICE
20.0000,74,40,PARAGRAPH_VOICE
24.0000,74,40,PARAGRAPH_VOICE
28.0000,74,40,PARAGRAPH_VOICE
32.0000,74,40,PARAGRAPH_VOICE
36.0000,74,41,PARAGRAPH_VOICE
40.0000,74,41,PARAGRAPH_VOICE
44.0000,74,41,PARAGRAPH_VOICE
48.0000,74,41,PARAGRAPH_VOICE
52.0000,74,41,PARAGRAPH_VOICE
56.0000,74,41,PARAGRAPH_VOICE
60.0000,74,41,PARAGRAPH_VOICE
64.0000,74,41,PARAGRAPH_VOICE
68.0000,74,41,PARAGRAPH_VOICE
72.0000,74,41,PARAGRAPH_VOICE
76.0000,74,41,PARAGRAPH_VOICE
80.0000,74,41,PARAGRAPH_VOICE
84.0000,74,41,PARAGRAPH_VOICE
88.0000,74,41,PARAGRAPH_VOICE
92.0000,74,41,PARAGRAPH_VOICE
96.0000,74,41,PARAGRAPH_VOICE
100.0000,74,41,PARAGRAPH_VOICE
104.0000,74,42,PARAGRAPH_VOICE
108.0000,74,42,PARAGRAPH_VOICE
112.0000,74,42,PARAGRAPH_VOICE
116.0000,74,42,PARAGRAPH_VOICE
120.0000,74,42,PARAGRAPH_VOICE
124.0000,74,42,PARAGRAPH_VOICE
128.0000,74,42,PARAGRAPH_VOICE
132.0000,74,42,PARAGRAPH_VOICE
136.0000,74,42,PARAGRAPH_VOICE
140.0000,74,42,PARAGRAPH_VOICE
144.0000,74,42,PARAGRAPH_VOICE
148.0000,74,42,PARAGRAPH_VOICE
152.0000,74,42,PARAGRAPH_VOICE
156.0000,74,42,PARAGRAPH_VOICE
160.0000,74,42,PARAGRAPH_VOICE
164.0000,74,42,PARAGRAPH_VOICE
168.0000,74,42,PARAGRAPH_VOICE
172.0000,74,43,PARAGRAPH_VOICE
176.0000,74,43,PARAGRAPH_VOICE
180.0000,74,43,PARAGRAPH_VOICE
184.0000,74,43,PARAGRAPH_VOICE
188.0000,74,43,PARAGRAPH_VOICE
192.0000,74,43,PARAGRAPH_VOICE
196.0000,74,43,PARAGRAPH_VOICE
200.0000,74,43,PARAGRAPH_VOICE
204.0000,74,43,PARAGRAPH_VOICE
208.0000,74,43,PARAGRAPH_VOICE
212.0000,74,43,PARAGRAPH_VOICE
216.0000,74,43,PARAGRAPH_VOICE
220.0000,74,43,PARAGRAPH_VOICE
224.0000,74,43,PARAGRAPH_VOICE
228.0000,74,43,PARAGRAPH_VOICE
232.0000,74,43,PARAGRAPH_VOICE
236.0000,74,43,PARAGRAPH_VOICE
240.0000,74,44,PARAGRAPH_VOICE
244.0000,74,44,PARAGRAPH_VOICE
248.0000,74,44,PARAGRAPH_VOICE
252.0000,74,44,PARAGRAPH_VOICE
256.0000,74,44,PARAGRAPH_VOICE
260.0000,74,44,PARAGRAPH_VOICE
264.0000,74,44,PARAGRAPH_VOICE
268.0000,74,44,PARAGRAPH_VOICE
272.0000,74,44,PARAGRAPH_VOICE
276.0000,74,44,PARAGRAPH_VOICE
280.0000,74,44,PARAGRAPH_VOICE
284.0000,74,44,PARAGRAPH_VOICE
288.0000,74,44,PARAGRAPH_VOICE
292.0000,74,44,PARAGRAPH_VOICE
296.0000,74,44,PARAGRAPH_VOICE
300.0000,74,44,PARAGRAPH_VOICE
304.0000,74,44,PARAGRAPH_VOICE
308.0000,74,45,PARAGRAPH_VOICE
312.0000,74,45,PARAGRAPH_VOICE
316.0000,74,45,PARAGRAPH_VOICE
320.0000,74,45,PARAGRAPH_VOICE
324.0000,74,45,PARAGRAPH_VOICE
328.0000,74,45,PARAGRAPH_VOICE
332.0000,74,45,PARAGRAPH_VOICE
336.0000,74,45,PARAGRAPH_VOICE
340.0000,74,45,PARAGRAPH_VOICE
344.0000,74,45,PARAGRAPH_VOICE
348.0000,74,45,PARAGRAPH_VOICE
352.0000,74,45,PARAGRAPH_VOICE
356.0000,74,45,PARAGRAPH_VOICE
360.0000,74,45,PARAGRAPH_VOICE
364.0000,74,45,PARAGRAPH_VOICE
368.0000,74,45,PARAGRAPH_VOICE
372.0000,74,45,PARAGRAPH_VOICE
376.0000,74,46,PARAGRAPH_VOICE
380.0000,74,46,PARAGRAPH_VOICE
384.0000,74,46,PARAGRAPH_VOICE
388.0000,74,46,PARAGRAPH_VOICE
392.0000,74,46,PARAGRAPH_VOICE
396.0000,74,46,PARAGRAPH_VOICE
400.0000,74,46,PARAGRAPH_VOICE
404.0000,74,46,PARAGRAPH_VOICE
408.0000,74,46,PARAGRAPH_VOICE
412.0000,74,46,PARAGRAPH_VOICE
416.0000,74,46,PARAGRAPH_VOICE
420.0000,74,46,PARAGRAPH_VOICE
424.0000,74,46,PARAGRAPH_VOICE
428.0000,74,46,PARAGRAPH_VOICE
432.0000,74,46,PARAGRAPH_VOICE
436.0000,74,46,PARAGRAPH_VOICE
440.0000,74,46,PARAGRAPH_VOICE
444.0000,74,47,PARAGRAPH_VOICE
448.0000,74,47,PARAGRAPH_VOICE
452.0000,74,47,PARAGRAPH_VOICE
456.0000,74,47,PARAGRAPH_VOICE
460.0000,74,47,PARAGRAPH_VOICE
464.0000,74,47,PARAGRAPH_VOICE
468.0000,74,47,PARAGRAPH_VOICE
472.0000,74,47,PARAGRAPH_VOICE
476.0000,74,47,PARAGRAPH_VOICE
480.0000,74,47,PARAGRAPH_VOICE
484.0000,74,47,PARAGRAPH_VOICE
488.0000,74,47,PARAGRAPH_VOICE
492.0000,74,47,PARAGRAPH_VOICE
496.0000,74,47,PARAGRAPH_VOICE
500.0000,74,47,PARAGRAPH_VOICE
504.0000,74,47,PARAGRAPH_VOICE
508.0000,74,47,PARAGRAPH_VOICE
512.0000,74,48,PARAGRAPH_VOICE
516.0000,74,48,PARAGRAPH_VOICE
520.0000,74,48,PARAGRAPH_VOICE
524.0000,74,48,PARAGRAPH_VOICE
528.0000,74,48,PARAGRAPH_VOICE
532.0000,74,48,PARAGRAPH_VOICE
536.0000,74,48,PARAGRAPH_VOICE
540.0000,74,48,PARAGRAPH_VOICE
544.0000,74,48,PARAGRAPH_VOICE
548.0000,74,48,PARAGRAPH_VOICE
552.0000,74,48,PARAGRAPH_VOICE
556.0000,74,48,PARAGRAPH_VOICE
560.0000,74,48,PARAGRAPH_VOICE
564.0000,74,48,PARAGRAPH_VOICE
568.0000,74,48,PARAGRAPH_VOICE
572.0000,74,48,PARAGRAPH_VOICE
576.0000,74,48,PARAGRAPH_VOICE
580.0000,74,49,PARAGRAPH_VOICE
584.0000,74,49,PARAGRAPH_VOICE
588.0000,74,49,PARAGRAPH_VOICE
592.0000,74,49,PARAGRAPH_VOICE
596.0000,74,49,PARAGRAPH_VOICE
600.0000,74,49,PARAGRAPH_VOICE
604.0000,74,49,PARAGRAPH_VOICE
608.0000,74,49,PARAGRAPH_VOICE
612.0000,74,49,PARAGRAPH_VOICE
616.0000,74,49,PARAGRAPH_VOICE
620.0000,74,49,PARAGRAPH_VOICE
624.0000,74,49,PARAGRAPH_VOICE
628.0000,74,49,PARAGRAPH_VOICE
632.0000,74,49,PARAGRAPH_VOICE
636.0000,74,49,PARAGRAPH_VOICE
640.0000,74,49,PARAGRAPH_VOICE
644.0000,74,49,PARAGRAPH_VOICE
648.0000,74,50,PARAGRAPH_VOICE
652.0000,74,50,PARAGRAPH_VOICE
656.0000,74,50,PARAGRAPH_VOICE
660.0000,74,50,PARAGRAPH_VOICE
664.0000,74,50,PARAGRAPH_VOICE
668.0000,74,50,PARAGRAPH_VOICE
