time_beats,carrier_hz,beat_hz,band,iso_rate_hz,pitch_bend_R
0.0000,110.000,7.027,theta,8.267,4391
140.0000,293.665,7.027,theta,8.267,1677
336.0000,73.416,7.027,theta,8.267,6481
420.0000,97.999,7.027,theta,8.267,4910
532.0000,87.307,7.027,theta,8.267,5489
