time_beats,cc,value,track
0.0000,74,73,PARAGRAPH_VOICE
4.0000,74,73,PARAGRAPH_VOICE
8.0000,74,73,PARAGRAPH_VOICE
12.0000,74,73,PARAGRAPH_VOICE
16.0000,74,73,PARAGRAPH_VOICE
20.0000,74,73,PARAGRAPH_VOICE
24.0000,74,73,PARAGRAPH_VOICE
28.0000,74,73,PARAGRAPH_VOICE
32.0000,74,73,PARAGRAPH_VOICE
36.0000,74,73,PARAGRAPH_VOICE
40.0000,74,73,PARAGRAPH_VOICE
44.0000,74,73,PARAGRAPH_VOICE
48.0000,74,73,PARAGRAPH_VOICE
52.0000,74,73,PARAGRAPH_VOICE
56.0000,74,73,PARAGRAPH_VOICE
60.0000,74,74,PARAGRAPH_VOICE
64.0000,74,74,PARAGRAPH_VOICE
68.0000,74,74,PARAGRAPH_VOICE
72.0000,74,74,PARAGRAPH_VOICE
76.0000,74,74,PARAGRAPH_VOICE
80.0000,74,74,PARAGRAPH_VOICE
84.0000,74,74,PARAGRAPH_VOICE
88.0000,74,74,PARAGRAPH_VOICE
92.0000,74,74,PARAGRAPH_VOICE
96.0000,74,74,PARAGRAPH_VOICE
100.0000,74,74,PARAGRAPH_VOICE
104.0000,74,74,PARAGRAPH_VOICE
108.0000,74,74,PARAGRAPH_VOICE
112.0000,74,74,PARAGRAPH_VOICE
116.0000,74,74,PARAGRAPH_VOICE
120.0000,74,74,PARAGRAPH_VOICE
124.0000,74,74,PARAGRAPH_VOICE
128.0000,74,75,PARAGRAPH_VOICE
132.0000,74,75,PARAGRAPH_VOICE
136.0000,74,75,PARAGRAPH_VOICE
140.0000,74,75,PARAGRAPH_VOICE
144.0000,74,75,PARAGRAPH_VOICE
148.0000,74,75,PARAGRAPH_VOICE
152.0000,74,75,PARAGRAPH_VOICE
156.0000,74,75,PARAGRAPH_VOICE
160.0000,74,75,PARAGRAPH_VOICE
164.0000,74,75,PARAGRAPH_VOICE
168.0000,74,75,PARAGRAPH_VOICE
172.0000,74,75,PARAGRAPH_VOICE
176.0000,74,75,PARAGRAPH_VOICE
180.0000,74,75,PARAGRAPH_VOICE
184.0000,74,75,PARAGRAPH_VOICE
188.0000,74,75,PARAGRAPH_VOICE
192.0000,74,75,PARAGRAPH_VOICE
196.0000,74,76,PARAGRAPH_VOICE
200.0000,74,76,PARAGRAPH_VOICE
204.0000,74,76,PARAGRAPH_VOICE
208.0000,74,76,PARAGRAPH_VOICE
212.0000,74,76,PARAGRAPH_VOICE
216.0000,74,76,PARAGRAPH_VOICE
220.0000,74,76,PARAGRAPH_VOICE
224.0000,74,76,PARAGRAPH_VOICE
228.0000,74,76,PARAGRAPH_VOICE
232.0000,74,76,PARAGRAPH_VOICE
236.0000,74,76,PARAGRAPH_VOICE
240.0000,74,76,PARAGRAPH_VOICE
244.0000,74,76,PARAGRAPH_VOICE
248.0000,74,76,PARAGRAPH_VOICE
252.0000,74,76,PARAGRAPH_VOICE
256.0000,74,76,PARAGRAPH_VOICE
260.0000,74,76,PARAGRAPH_VOICE
264.0000,74,77,PARAGRAPH_VOICE
268.0000,74,77,PARAGRAPH_VOICE
272.0000,74,77,PARAGRAPH_VOICE
276.0000,74,77,PARAGRAPH_VOICE
280.0000,74,77,PARAGRAPH_VOICE
284.0000,74,77,PARAGRAPH_VOICE
288.0000,74,77,PARAGRAPH_VOICE
292.0000,74,77,PARAGRAPH_VOICE
296.0000,74,77,PARAGRAPH_VOICE
300.0000,74,77,PARAGRAPH_VOICE
304.0000,74,77,PARAGRAPH_VOICE
308.0000,74,77,PARAGRAPH_VOICE
312.0000,74,77,PARAGRAPH_VOICE
316.0000,74,77,PARAGRAPH_VOICE
320.0000,74,77,PARAGRAPH_VOICE
324.0000,74,77,PARAGRAPH_VOICE
328.0000,74,77,PARAGRAPH_VOICE
332.0000,74,78,PARAGRAPH_VOICE
336.0000,74,78,PARAGRAPH_VOICE
340.0000,74,78,PARAGRAPH_VOICE
344.0000,74,78,PARAGRAPH_VOICE
348.0000,74,78,PARAGRAPH_VOICE
352.0000,74,78,PARAGRAPH_VOICE
356.0000,74,78,PARAGRAPH_VOICE
360.0000,74,78,PARAGRAPH_VOICE
364.0000,74,78,PARAGRAPH_VOICE
368.0000,74,78,PARAGRAPH_VOICE
372.0000,74,78,PARAGRAPH_VOICE
376.0000,74,78,PARAGRAPH_VOICE
380.0000,74,78,PARAGRAPH_VOICE
384.0000,74,78,PARAGRAPH_VOICE
