time_beats,carrier_hz,beat_hz,band,iso_rate_hz,pitch_bend_R
0.0000,87.307,4.547,theta,4.133,3600
156.0000,73.416,4.547,theta,4.133,4261
256.0000,73.416,4.547,theta,4.133,4261
380.0000,73.416,4.547,theta,4.133,4261
484.0000,174.614,4.547,theta,4.133,1823
532.0000,87.307,4.547,theta,4.133,3600
628.0000,87.307,4.547,theta,4.133,3600
768.0000,87.307,4.547,theta,4.133,3600
824.0000,73.416,4.547,theta,4.133,4261
